year,months,organ,kind,number,numofpeople
113,4,土城分局,罰鍰,104,104
113,4,新店分局,罰鍰,385,385
113,4,蘆洲分局,罰鍰,118,118
113,4,三峽分局,罰鍰,77,77
113,4,樹林分局,罰鍰,27,27
113,4,汐止分局,罰鍰,48,48
113,4,淡水分局,罰鍰,90,90
113,4,瑞芳分局,罰鍰,5,5
113,4,金山分局,罰鍰,3,3
113,4,林口分局,罰鍰,27,27
113,4,總　　　計,没入攤架,0,0
113,4,板橋分局,没入攤架,0,0
113,4,海山分局,没入攤架,0,0
113,4,中和分局,没入攤架,0,0
113,4,永和分局,没入攤架,0,0
113,4,三重分局,没入攤架,0,0
113,4,新莊分局,没入攤架,0,0
113,4,土城分局,没入攤架,0,0
113,4,新店分局,没入攤架,0,0
113,4,蘆洲分局,没入攤架,0,0
113,4,三峽分局,没入攤架,0,0
113,4,樹林分局,没入攤架,0,0
113,4,汐止分局,没入攤架,0,0
113,4,淡水分局,没入攤架,0,0
113,4,瑞芳分局,没入攤架,0,0
113,4,金山分局,没入攤架,0,0
113,4,林口分局,没入攤架,0,0
113,4,總　　　計,拆除攤架,0,0
113,4,板橋分局,拆除攤架,0,0
113,4,海山分局,拆除攤架,0,0
113,4,中和分局,拆除攤架,0,0
113,4,永和分局,拆除攤架,0,0
113,4,三重分局,拆除攤架,0,0
113,4,新莊分局,拆除攤架,0,0
113,4,土城分局,拆除攤架,0,0
113,4,新店分局,拆除攤架,0,0
113,4,蘆洲分局,拆除攤架,0,0
113,4,三峽分局,拆除攤架,0,0
113,4,樹林分局,拆除攤架,0,0
113,4,汐止分局,拆除攤架,0,0
113,4,淡水分局,拆除攤架,0,0
113,4,瑞芳分局,拆除攤架,0,0
113,4,金山分局,拆除攤架,0,0
113,4,林口分局,拆除攤架,0,0
113,4,總　　　計,勸導,980,980
113,4,板橋分局,勸導,201,201
113,4,海山分局,勸導,95,95
113,4,中和分局,勸導,114,114
113,4,永和分局,勸導,0,0
113,4,三重分局,勸導,32,32
113,4,新莊分局,勸導,217,217
113,4,土城分局,勸導,125,125
113,4,新店分局,勸導,0,0
113,4,蘆洲分局,勸導,84,84
113,4,三峽分局,勸導,60,60
113,4,樹林分局,勸導,5,5
113,4,汐止分局,勸導,0,0
113,4,淡水分局,勸導,0,0
113,4,瑞芳分局,勸導,40,40
113,4,金山分局,勸導,7,7
113,4,林口分局,勸導,0,0
113,5,總　　　計,總計,3174,3174
113,5,板橋分局,總計,606,606
113,5,海山分局,總計,145,145
113,5,中和分局,總計,399,399
113,5,永和分局,總計,42,42
113,5,三重分局,總計,234,234
113,5,新莊分局,總計,407,407
113,5,土城分局,總計,342,342
113,5,新店分局,總計,399,399
113,5,蘆洲分局,總計,237,237
113,5,三峽分局,總計,144,144
113,5,樹林分局,總計,36,36
113,5,汐止分局,總計,34,34
113,5,淡水分局,總計,59,59
113,5,瑞芳分局,總計,46,46
113,5,金山分局,總計,11,11
113,5,林口分局,總計,33,33
113,5,總　　　計,罰鍰,2151,2151
113,5,板橋分局,罰鍰,417,417
113,5,海山分局,罰鍰,100,100
113,5,中和分局,罰鍰,211,211
