項次,地區,經度X,緯度Y,設置地點,街道名稱,排班格位,排班時間
162,信義,121.566086,25.047843,中農科技大樓,東興路45號1樓前(合作金庫銀行),5,8~20
163,信義,121.568541,25.036947,第一交易廣場,松仁路93號,5,0~24
164,信義,121.568516,25.036218,群益大樓,松仁路97號,3,0~24
165,信義,121.565569,25.036362,中國信託商業銀行(松智路),松智路（距松壽路口北側25公尺處）,2,0~24
166,信義,121.566081,25.035945,中國信託商業銀行(松壽路),松壽路3號,1,0~24
167,信義,121.567422,25.035941,新光三越信義店A11松壽路前,松壽路,2,0~24
168,信義,121.568527,25.038123,國泰金融中心,松仁路9號,7,0~24
169,信義,121.567524,25.035537,華納威秀影城,華納影城東側(與neo19間)巷口,3,0~24
170,信義,121.556691,25.020829,黎富公園,和平東路3段341巷口公園旁,2,周一至周五8~17
171,信義,121.568584,25.039732,中油大樓,松仁路3號,3,週一至週五9~20
172,信義,121.566435,25.038988,新光三越A8館,松智路9巷,2,0~24
173,信義,121.568245,25.035599,信義區松仁路NEO19,松仁路NEO19前,3,23~05
174,信義,121.563652,25.037852,臺北市政府西大門左側,市府路1號,3,0~24
175,信義,121.599869,25.041595,忠孝東路5段,忠孝東路5段532號,2,12~23
176,信義,121.560845,25.045000,松菸文創園區,菸廠路88號,3,0~24
177,信義,121.569733,25.030183,象山公園,信義路5段150巷,3,8~18
178,南港,121.607398,25.052044,捷運南港站2號出口,忠孝東路7段,7,0~24
179,南港,121.613990,25.058340,軟體工業園區,三重路19號(A棟),4,周一至周五9~20
180,南港,121.611600,25.059010,軟體工業園區,園區街3號(F棟),5,週一至週五9~20
181,南港,121.612373,25.056207,軟體工業園區,新民街出入口(H棟),3,週一至週五9~20
182,南港,121.581603,25.044424,捷運板南線後山埤站,中坡北路出口Ａ(1號出口旁),5,0~24
183,南港,121.586678,25.046349,聯合醫院忠孝院區,同德路、東新街80巷口西北側,3,0~24
184,南港,121.606363,25.053742,南港火車站,興華路(車站出口左側),4,0~24
185,南港,121.605729,25.054239,家樂福量販店大門口東側,南港路2段18號,2,10~22
186,南港,121.615541,25.059775,捷運南港軟體園區站西側,經貿二路183號,4,0~24
187,南港,121.618116,25.055065,捷運南港展覽館站南港路北側,南港路1段(捷運3號出口),2,0~24
188,南港,121.616893,25.055006,捷運南港展覽館站南港路南側,南港路1段(靠近研究院路一段、捷運站5號出口),6,0~24
189,南港,121.614460,25.057080,世正經貿大樓(後側),經貿二路66號,5,周一至周五9~20
190,南港,121.594232,25.050601,捷運昆陽站4號出口,忠孝東路6段(公車停靠區前),3,0~24
191,南港,121.614460,25.057080,世正經貿大樓(左側),經貿2路62巷(近三重路),5,週一至週五9~20
192,南港,121.606384,25.051918,捷運南港站1號出口,忠孝東路7段,2,0~24
193,南港,121.605364,25.052414,南港車站B1夾層計程車排班區,南港路一段313號,64,8~23
194,南港,121.599896,25.052066,北部流行音樂中心(南基地),市民大道8段,3,9~18
195,萬華,121.508634,25.042434,遠東百貨寶慶店,寶慶路,2,0~24
196,萬華,121.500937,25.033136,臺鐵萬華站,東站艋舺大道側,6,0~24
197,萬華,121.507151,25.047146,萬華運動中心,西寧南路6之1號,2,9~21
198,萬華,121.499182,25.033457,凱達大飯店,西園路1段306巷,2,0~24
199,萬華,121.493527,25.028686,東昀交通公司前,西藏路510號,1,週一至周六9~21
200,萬華,121.501464,25.033705,萬華車站(廣二停車場東側),康定路317巷,5,0~24
201,萬華,121.504004,25.028620,慈安首璽大樓,中華路2段364巷,1,0~24
202,萬華,121.508621,25.045226,索拉利亞西鐵飯店,漢口街2段,2,0~24
