SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,district,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE004160,379380000A,臺北市政府,臺北市大同區公所,行政機關,大同區行政大樓2F災害應變中心會議室中央,,TAIFO,103,臺北市,大同區,103臺北市大同區昌吉街57號2F,121.5151171,25.0660591,Taipei City Government,"Datong District Office, Taipei City",Government Agency,"Datong District Office, Taipei City 2F Disaster Response Center Conference Room Center",Taipei City,Datong District,"2F., No. 57, Changji St., Datong Dist., Taipei City?103?, Taiwan (R.O.C.)"
TPEE004161,379380000A,臺北市政府,臺北市大同區公所,行政機關,大同區行政大樓2F災害應變中心多功能教室中央,,TAIFO,103,臺北市,大同區,103臺北市大同區昌吉街57號2F,121.5151307,25.0660931,Taipei City Government,"Datong District Office, Taipei City",Government Agency,"Datong District Office, Taipei City 2F Disaster Response Center Multipurpose Classroom Center",Taipei City,Datong District,"2F., No. 57, Changji St., Datong Dist., Taipei City?103?, Taiwan (R.O.C.)"
TPEE004162,379490000A,臺北市政府,臺北市文山區公所,公眾服務,文山區行政大樓10F電腦教室,,TAIFO,116,臺北市,文山區,116臺北市文山區木柵路三段220號10F,121.5701331,24.9896239,Taipei City Government,"Wenshan District Office, Taipei City",Public Services,"Computer Classroom, 10th Floor, Wenshan District Administration Building, Taipei City Government",Taipei City,Wenshan District,"10F, No. 220, Section 3, Muzha Road, Wenshan District, Taipei City, 116"
TPEE004163,379590000E,臺北市政府,臺北市政府文化局,藝文場館,市長官邸藝文沙龍1F玄關,,TAIFO,100,臺北市,中正區,100臺北市中正區徐州路46號1F,121.5246309,25.0403341,Taipei City Government,"Department of Cultural Affairs, Taipei City Government",Art and Culture Facilities,"1F, Center of the Restaurant, Mayor's Residence Art Salon",Taipei City,Zhongzheng District,"No. 46, Xuzhou Rd., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004164,379590000E,臺北市政府,臺北市政府文化局,藝文場館,市長官邸藝文沙龍1F辦公室門口,,TAIFO,100,臺北市,中正區,100臺北市中正區徐州路46號1F,121.5241333,25.0404431,Taipei City Government,"Department of Cultural Affairs, Taipei City Government",Art and Culture Facilities,"1F, Office Entrance, Mayor's Residence Art Salon",Taipei City,Zhongzheng District,"No. 46, Xuzhou Rd., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004165,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F資訊室,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5139198,25.0406712,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F Information Room, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004166,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F園藝科左,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5138900,25.0406217,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F Horticulture Branch left, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004167,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F園藝科右,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5139627,25.0407125,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F Horticulture Branch right, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004168,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F處長室外,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5139292,25.0407951,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F Director's Room , Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
TPEE004169,379110300G,臺北市政府,臺北市政府工務局公園路燈工程管理處,行政機關,公園路燈工程管理處處本部2F政風室外走道,,TAIFO,100,臺北市,中正區,100臺北市中正區懷寧街109號2F,121.5139694,25.0408459,Taipei City Government,"Parks and Street Lights Office, Public Works Department, Taipei City Government",Government Agency,"2F political style outdoor walkway, Parks and Street Lights Office",Taipei City,Zhongzheng District,"1F., No. 109, Huaining St., Zhongzheng Dist., Taipei City 100 , Taiwan (R.O.C.)"
